Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow
466,016667	-0,313057	0	150	153,024765	0	1,480999
466,033333	-0,314116	0	150	153,023224	0	1,480999
466,05	-0,314116	0	150	153,021698	0	1,480999
466,066667	-0,314045	0	150	153,020782	0	1,480999
466,083333	-0,313975	0	150	153,022003	0	1,480999
466,1	-0,315104	0	150	153,020782	0	1,480999
466,116667	-0,314822	0	150	153,021393	0	1,480999
466,133333	-0,314398	0	150	153,022003	0	1,480999
466,15	-0,313904	0	150	153,022308	0	1,480999
466,166667	-0,315458	0	150	153,020477	0	1,480999
466,183333	-0,314751	0	150	153,020782	0	1,480999
466,2	-0,314116	0	150	153,021393	0	1,480999
466,216667	-0,31461	0	150	153,021698	0	1,480999
466,233333	-0,31461	0	150	153,022308	0	1,480999
466,25	-0,313975	0	150	153,022003	0	1,480999
466,266667	-0,314116	0	150	153,023224	0	1,480999
466,283333	-0,314116	0	150	153,022308	0	1,480999
466,3	-0,313551	0	150	153,022919	0	1,480999
466,316667	-0,312209	0	150	153,022614	0	1,480999
466,333333	-0,31235	0	150	153,022308	0	1,480999
466,35	-0,312915	0	150	153,019241	0	1,480999
466,366667	-0,313339	0	150	153,018021	0	1,480999
466,383333	-0,312492	0	150	153,017715	0	1,480999
466,4	-0,312209	0	150	153,018631	0	1,480999
466,416667	-0,312915	0	150	153,020172	0	1,480999
466,433333	-0,313339	0	150	153,023224	0	1,480999
466,45	-0,313551	0	150	153,024155	0	1,480999
466,466667	-0,312068	0	150	153,023224	0	1,480999
466,483333	-0,311715	0	150	153,021393	0	1,480999
466,5	-0,312421	0	150	153,020477	0	1,480999
466,516667	-0,311644	0	150	153,019241	0	1,480999
466,533333	-0,312633	0	150	153,018326	0	1,480999
466,55	-0,312562	0	150	153,020172	0	1,480999
466,566667	-0,313057	0	150	153,020477	0	1,480999
466,583333	-0,312209	0	150	153,020477	0	1,480999
466,6	-0,312774	0	150	153,021698	0	1,480999
466,616667	-0,312421	0	150	153,023224	0	1,480999
466,633333	-0,312703	0	150	153,023224	0	1,480999
466,65	-0,314328	0	150	153,022919	0	1,480999
466,666667	-0,312845	0	150	153,022919	0	1,480999
466,683333	-0,313198	0	150	153,020782	0	1,480999
466,7	-0,313057	0	150	153,019547	0	1,480999
466,716667	-0,312492	0	150	153,019852	0	1,480999
466,733333	-0,312492	0	150	153,021393	0	1,480999
466,75	-0,312986	0	150	153,022614	0	1,480999
466,766667	-0,313268	0	150	153,022919	0	1,480999
466,783333	-0,313621	0	150	153,023224	0	1,480999
466,8	-0,313339	0	150	153,022308	0	1,480999
466,816667	-0,314116	0	150	153,021088	0	1,480999
466,833333	-0,313692	0	150	153,020477	0	1,480999
466,85	-0,31348	0	150	153,020782	0	1,480999
466,866667	-0,313621	0	150	153,020782	0	1,480999
466,883333	-0,314116	0	150	153,020782	0	1,480999
466,9	-0,313057	0	150	153,021088	0	1,480999
466,916667	-0,313198	0	150	153,019547	0	1,480999
466,933333	-0,311573	0	150	153,018631	0	1,480999
466,95	-0,311997	0	150	153,018021	0	1,480999
466,966667	-0,311785	0	150	153,016495	0	1,480999
466,983333	-0,312703	0	150	153,015564	0	1,480999
467	-0,311715	0	150	153,015884	0	1,480999
467,016667	-0,310726	0	150	153,015259	0	1,480999
467,033333	-0,310232	0	150	153,015564	0	1,480999
467,05	-0,310655	0	150	153,0168	0	1,480999
467,066667	-0,31115	0	150	153,0168	0	1,480999
467,083333	-0,31002	0	150	153,017105	0	1,480999
467,1	-0,309949	0	150	153,018936	0	1,480999
467,116667	-0,310373	0	150	153,021088	0	1,480999
467,133333	-0,310444	0	150	153,022003	0	1,480999
467,15	-0,311432	0	150	153,022308	0	1,480999
467,166667	-0,311432	0	150	153,022614	0	1,480999
467,183333	-0,311291	0	150	153,022003	0	1,480999
467,2	-0,312562	0	150	153,019241	0	1,480999
467,216667	-0,313127	0	150	153,017715	0	1,480999
467,233333	-0,313127	0	150	153,018021	0	1,480999
467,25	-0,312421	0	150	153,018326	0	1,480999
467,266667	-0,312703	0	150	153,017105	0	1,480999
467,283333	-0,312703	0	150	153,017715	0	1,480999
467,3	-0,311927	0	150	153,017105	0	1,480999
467,316667	-0,31235	0	150	153,016495	0	1,480999
467,333333	-0,311997	0	150	153,0168	0	1,480999
467,35	-0,312421	0	150	153,01741	0	1,480999
467,366667	-0,31228	0	150	153,018021	0	1,480999
467,383333	-0,312774	0	150	153,018021	0	1,480999
